timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1593785446510,81,mas/CN,200,OK,ipokemon 1-17,text,true,,2013,323,63,63,http://192.168.0.103:8000/mas/CN,81,0,49
1593785446494,80,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-32,text,false,,2467,0,60,60,http://192.168.0.103:8000/upm,0,0,66
1593785446498,76,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-5,text,false,,2467,0,62,62,http://192.168.0.103:8000/uu,0,0,61
1593785446499,76,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-40,text,false,,2467,0,62,62,http://192.168.0.103:8000/upm,0,0,61
1593785446510,64,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-28,text,false,,2467,0,62,62,http://192.168.0.103:8000/upm,0,0,50
1593785446529,54,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-54,text,false,,2467,0,62,62,http://192.168.0.103:8000/uu,0,0,31
1593785446493,89,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-9,text,false,,2467,0,62,62,http://192.168.0.103:8000/uu,0,0,65
1593785446510,72,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-8,text,false,,2467,0,62,62,http://192.168.0.103:8000/uu,0,0,49
1593785446495,79,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-46,text,false,,2467,0,62,62,http://192.168.0.103:8000/uu,0,0,65
1593785446496,88,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-38,text,false,,2467,0,61,61,http://192.168.0.103:8000/uu,0,0,64
1593785446501,82,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-4,text,false,,2467,0,61,61,http://192.168.0.103:8000/upm,0,0,58
1593785446497,86,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-11,text,false,,2467,0,61,61,http://192.168.0.103:8000/uu,0,0,62
1593785446532,73,upm,200,OK,ipokemon 1-55,text,true,,153,2523,66,66,http://192.168.0.103:8000/upm,73,0,28
1593785446493,89,ur,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-18,text,false,,2467,0,61,61,http://192.168.0.103:8000/ur,0,0,66
1593785446497,86,ur,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-21,text,false,,2467,0,61,61,http://192.168.0.103:8000/ur,0,0,62
1593785446511,73,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-42,text,false,,2467,0,61,61,http://192.168.0.103:8000/upm,0,0,48
1593785446509,68,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-14,text,false,,2467,0,61,61,http://192.168.0.103:8000/upm,0,0,50
1593785446510,113,uu,200,OK,ipokemon 1-13,text,true,,153,790,76,76,http://192.168.0.103:8000/uu,113,0,49
1593785446621,9,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-74,text,false,,2467,0,79,79,http://192.168.0.103:8000/upm,0,0,4
1593785446514,127,uu,200,OK,ipokemon 1-49,text,true,,153,818,84,84,http://192.168.0.103:8000/uu,127,0,45
1593785446510,148,upm,200,OK,ipokemon 1-1,text,true,,153,2006,92,92,http://192.168.0.103:8000/upm,148,0,48
1593785446659,7,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-1,text,false,,2467,0,95,95,http://192.168.0.103:8000/uu,0,0,2
1593785446493,173,uu,200,OK,ipokemon 1-15,text,true,,153,735,95,95,http://192.168.0.103:8000/uu,173,0,66
1593785446493,185,upm,200,OK,ipokemon 1-23,text,true,,153,2084,100,100,http://192.168.0.103:8000/upm,185,0,66
1593785446578,109,upm,200,OK,ipokemon 1-61,text,true,,153,2040,100,100,http://192.168.0.103:8000/upm,109,0,8
1593785446603,91,uu,200,OK,ipokemon 1-8,text,true,,153,802,100,100,http://192.168.0.103:8000/uu,91,0,6
1593785446620,86,uu,200,OK,ipokemon 1-73,text,true,,153,912,100,100,http://192.168.0.103:8000/uu,86,0,4
1593785446605,299,uu,200,OK,ipokemon 1-18,text,true,,153,882,100,100,http://192.168.0.103:8000/uu,299,0,8
1593785446659,260,upm,200,OK,ipokemon 1-91,text,true,,153,2060,100,100,http://192.168.0.103:8000/upm,260,0,3
1593785446637,294,upm,200,OK,ipokemon 1-82,text,true,,153,2040,100,100,http://192.168.0.103:8000/upm,294,0,5
1593785446680,258,uu,200,OK,ipokemon 1-23,text,true,,153,632,100,100,http://192.168.0.103:8000/uu,258,0,2
1593785446687,260,uu,200,OK,ipokemon 1-61,text,true,,153,729,100,100,http://192.168.0.103:8000/uu,259,0,2
1593785446695,263,upm,200,OK,ipokemon 1-8,text,true,,153,2005,100,100,http://192.168.0.103:8000/upm,263,0,2
1593785446707,257,uu,200,OK,ipokemon 1-73,text,true,,153,732,100,100,http://192.168.0.103:8000/uu,257,0,4
1593785446904,65,pma/4,200,OK,ipokemon 1-18,text,true,,766,322,100,100,http://192.168.0.103:8000/pma/4,65,0,5
1593785446920,55,r/XX,200,OK,ipokemon 1-91,text,true,,157,321,100,100,http://192.168.0.103:8000/r/XX,55,0,3
1593785446665,317,uu,200,OK,ipokemon 1-95,text,true,,153,619,100,100,http://192.168.0.103:8000/uu,317,0,4
1593785446938,49,mas/CN,200,OK,ipokemon 1-23,text,true,,2013,323,100,100,http://192.168.0.103:8000/mas/CN,48,0,4
1593785446947,51,cu,200,OK,ipokemon 1-61,text,true,,153,616,100,100,http://192.168.0.103:8000/cu,51,0,2
1593785446964,41,upm,200,OK,ipokemon 1-73,text,true,,153,2627,100,100,http://192.168.0.103:8000/upm,41,0,4
1593785446976,37,upm,200,OK,ipokemon 1-91,text,true,,153,2017,100,100,http://192.168.0.103:8000/upm,37,0,2
1593785446982,40,pma/7,200,OK,ipokemon 1-95,text,true,,766,322,100,100,http://192.168.0.103:8000/pma/7,40,0,2
1593785446987,44,cu,200,OK,ipokemon 1-23,text,true,,153,625,100,100,http://192.168.0.103:8000/cu,44,0,2
1593785446999,40,wpm,200,OK,ipokemon 1-61,text,true,,189,328,100,100,http://192.168.0.103:8000/wpm?code=CN,39,0,3
1593785447014,31,pma/7,200,OK,ipokemon 1-91,text,true,,766,322,100,100,http://192.168.0.103:8000/pma/7,31,0,7
1593785447031,23,uu,200,OK,ipokemon 1-23,text,true,,153,619,100,100,http://192.168.0.103:8000/uu,23,0,3
1593785447039,23,uu,200,OK,ipokemon 1-61,text,true,,153,904,100,100,http://192.168.0.103:8000/uu,23,0,3
1593785447046,25,upm,200,OK,ipokemon 1-91,text,true,,153,2029,100,100,http://192.168.0.103:8000/upm,25,0,2
1593785447054,26,uu,200,OK,ipokemon 1-23,text,true,,153,723,100,100,http://192.168.0.103:8000/uu,26,0,3
1593785446518,566,r/XX,200,OK,ipokemon 1-51,text,true,,157,321,100,100,http://192.168.0.103:8000/r/XX,566,0,42
1593785446493,596,pma/4,200,OK,ipokemon 1-12,text,true,,766,322,100,100,http://192.168.0.103:8000/pma/4,596,0,66
1593785446493,601,pma/23,200,OK,ipokemon 1-16,text,true,,766,323,100,100,http://192.168.0.103:8000/pma/23,601,0,66
1593785446514,586,pma/7,200,OK,ipokemon 1-50,text,true,,766,322,100,100,http://192.168.0.103:8000/pma/7,586,0,45
1593785446493,612,pma/7,200,OK,ipokemon 1-10,text,true,,766,322,100,100,http://192.168.0.103:8000/pma/7,612,0,66
1593785447071,46,cu,200,OK,ipokemon 1-91,text,true,,153,640,100,100,http://192.168.0.103:8000/cu,46,0,2
1593785446605,517,pma/1,200,OK,ipokemon 1-11,text,true,,766,322,100,100,http://192.168.0.103:8000/pma/1,517,0,6
1593785446605,520,r/XX,200,OK,ipokemon 1-4,text,true,,157,321,100,100,http://192.168.0.103:8000/r/XX,520,0,6
1593785447096,40,uu,200,OK,ipokemon 1-16,text,true,,153,646,100,100,http://192.168.0.103:8000/uu,40,0,2
1593785447101,46,uu,200,OK,ipokemon 1-50,text,true,,153,900,100,100,http://192.168.0.103:8000/uu,46,0,2
1593785447080,75,upm,200,OK,ipokemon 1-23,text,true,,153,2674,100,100,http://192.168.0.103:8000/upm,75,0,3
