timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1593782772455,81,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-20,text,false,,2467,0,25,25,http://192.168.0.103:8000/uu,0,0,71
1593782772456,100,upm,200,OK,ipokemon 1-6,text,true,,153,2551,25,25,http://192.168.0.103:8000/upm,100,0,57
1593782772455,81,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-18,text,false,,2467,0,25,25,http://192.168.0.103:8000/uu,0,0,71
1593782772456,81,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-5,text,false,,2467,0,25,25,http://192.168.0.103:8000/uu,0,0,71
1593782772455,81,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-19,text,false,,2467,0,25,25,http://192.168.0.103:8000/uu,0,0,70
1593782772456,81,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-13,text,false,,2467,0,25,25,http://192.168.0.103:8000/uu,0,0,71
1593782772456,81,ur,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-3,text,false,,2467,0,25,25,http://192.168.0.103:8000/ur,0,0,71
1593782772457,106,uu,200,OK,ipokemon 1-17,text,true,,153,732,25,25,http://192.168.0.103:8000/uu,106,0,60
1593782772455,81,uu,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-24,text,false,,2467,0,25,25,http://192.168.0.103:8000/uu,0,0,71
1593782772455,81,upm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,ipokemon 1-22,text,false,,2467,0,25,25,http://192.168.0.103:8000/upm,0,0,70
1593782772456,128,cu,200,OK,ipokemon 1-9,text,true,,153,616,25,25,http://192.168.0.103:8000/cu,128,0,70
1593782772456,134,ur,200,OK,ipokemon 1-15,text,true,,153,650,25,25,http://192.168.0.103:8000/ur,134,0,70
1593782772456,139,pma/23,200,OK,ipokemon 1-12,text,true,,766,323,25,25,http://192.168.0.103:8000/pma/23,139,0,70
1593782772456,154,upm,200,OK,ipokemon 1-8,text,true,,153,2644,25,25,http://192.168.0.103:8000/upm,154,0,70
1593782772456,159,id,200,OK,ipokemon 1-7,text,true,,161,319,25,25,http://192.168.0.103:8000/id,159,0,71
1593782772558,69,uu,200,OK,ipokemon 1-18,text,true,,153,726,25,25,http://192.168.0.103:8000/uu,69,0,4
1593782772559,73,pma/1,200,OK,ipokemon 1-5,text,true,,766,322,25,25,http://192.168.0.103:8000/pma/1,73,0,6
1593782772564,273,uu,200,OK,ipokemon 1-17,text,true,,153,714,25,25,http://192.168.0.103:8000/uu,273,0,6
1593782772610,246,uu,200,OK,ipokemon 1-8,text,true,,153,732,25,25,http://192.168.0.103:8000/uu,245,0,4
1593782772628,233,pma/1,200,OK,ipokemon 1-18,text,true,,766,322,25,25,http://192.168.0.103:8000/pma/1,233,0,2
1593782772633,243,uu,200,OK,ipokemon 1-5,text,true,,153,711,25,25,http://192.168.0.103:8000/uu,243,0,4
1593782772456,434,wpm,200,OK,ipokemon 1-4,text,true,,189,328,25,25,http://192.168.0.103:8000/wpm?code=CN,434,0,71
1593782772455,439,pma/7,200,OK,ipokemon 1-21,text,true,,766,322,25,25,http://192.168.0.103:8000/pma/7,439,0,70
1593782772564,334,cc,200,OK,ipokemon 1-24,text,true,,153,319,25,25,http://192.168.0.103:8000/cc,334,0,4
1593782772890,14,r/XX,200,OK,ipokemon 1-4,text,true,,157,321,25,25,http://192.168.0.103:8000/r/XX,14,0,4
1593782772898,21,upm,200,OK,ipokemon 1-24,text,true,,153,2579,25,25,http://192.168.0.103:8000/upm,21,0,4
1593782772905,24,uu,200,OK,ipokemon 1-4,text,true,,153,912,25,25,http://192.168.0.103:8000/uu,24,0,3
1593782772560,455,wpm,200,OK,ipokemon 1-19,text,true,,189,328,25,25,http://192.168.0.103:8000/wpm?code=CN,454,0,6
1593782773017,14,r/XX,200,OK,ipokemon 1-19,text,true,,157,321,25,25,http://192.168.0.103:8000/r/XX,14,0,3
1593782773032,15,pma/4,200,OK,ipokemon 1-19,text,true,,766,322,25,25,http://192.168.0.103:8000/pma/4,14,0,4
1593782773048,19,uu,200,OK,ipokemon 1-19,text,true,,153,735,25,25,http://192.168.0.103:8000/uu,18,0,2
1593782772566,1048,pma/7,200,OK,ipokemon 1-22,text,true,,766,322,25,25,http://192.168.0.103:8000/pma/7,1048,0,1033
1593782773615,38,uu,200,OK,ipokemon 1-22,text,true,,153,653,25,25,http://192.168.0.103:8000/uu,38,0,20
1593782775123,18,pma/7,200,OK,ipokemon 1-24,text,true,,766,322,25,25,http://192.168.0.103:8000/pma/7,18,0,5
1593782775838,37,uu,200,OK,ipokemon 1-3,text,true,,153,900,25,25,http://192.168.0.103:8000/uu,37,0,6
1593782779638,31,upm,200,OK,ipokemon 1-12,text,true,,153,2084,25,25,http://192.168.0.103:8000/upm,31,0,7
1593782779670,33,upm,200,OK,ipokemon 1-12,text,true,,153,2005,25,25,http://192.168.0.103:8000/upm,33,0,3
1593782779704,25,uu,200,OK,ipokemon 1-12,text,true,,153,726,25,25,http://192.168.0.103:8000/uu,25,0,4
1593782781350,24,uu,200,OK,ipokemon 1-9,text,true,,153,619,25,25,http://192.168.0.103:8000/uu,24,0,5
1593782781375,23,ur,200,OK,ipokemon 1-9,text,true,,153,629,25,25,http://192.168.0.103:8000/ur,23,0,3
1593782781399,28,upm,200,OK,ipokemon 1-9,text,true,,153,2779,25,25,http://192.168.0.103:8000/upm,28,0,4
1593782783386,36,id,200,OK,ipokemon 1-19,text,true,,161,319,25,25,http://192.168.0.103:8000/id,35,0,14
1593782783423,50,u,200,OK,ipokemon 1-19,text,true,,426,318,25,25,http://192.168.0.103:8000/u,50,0,6
